material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
wse2,6.29859,6.48282,0.18422,283.767,285.0,0.10187,1
wse2,5.33189,5.4507,0.11881,283.741,285.0,0.11476,1
wse2,118.48583,118.98754,0.50171,285.202,285.0,3.57482,4
wse2,9.20909,9.36635,0.15726,285.931,285.0,0.23272,4
wse2,1.70541,1.75925,0.05384,285.236,285.0,0.05415,1
wse2,73.13023,72.89561,-0.23462,285.581,285.0,1.28057,3
wse2,3.1357,3.19735,0.06165,284.274,285.0,0.07986,1
wse2,115.71179,115.32149,-0.3903,284.921,285.0,2.59141,4
wse2,1.09915,1.05748,-0.04167,285.015,285.0,0.0231,1
wse2,5.66236,5.86003,0.19767,282.817,285.0,0.18081,1
wse2,1.19384,1.16444,-0.0294,284.154,285.0,0.02669,1
wse2,0.82942,0.84706,0.01764,286.581,285.0,0.02011,1
wse2,4.91769,5.00797,0.09029,284.467,285.0,0.10233,1
wse2,1.00097,1.00831,0.00734,283.091,285.0,0.0309,1
wse2,34.62305,34.78366,0.16061,285.133,285.0,0.49015,2
wse2,70.68289,71.23466,0.55177,285.698,285.0,1.54081,2
wse2,38.26526,38.12356,-0.1417,285.105,285.0,0.46019,2
wse2,5.65957,5.81083,0.15126,284.099,285.0,0.06183,1
wse2,30.69341,30.45494,-0.23848,284.701,285.0,0.70734,1
wse2,1.63849,1.69315,0.05466,284.96,285.0,0.03281,1
wse2,7.08399,7.39701,0.31301,286.738,285.0,0.17327,2
wse2,1.75844,1.73845,-0.01999,283.482,285.0,0.04475,1
wse2,3.67172,3.63727,-0.03445,284.869,285.0,0.04833,1
wse2,2.28861,2.29581,0.0072,285.77,285.0,0.04595,1
wse2,3.73974,3.82935,0.08961,283.967,285.0,0.14462,1
wse2,63.88804,64.66975,0.78171,284.942,285.0,2.29684,1
wse2,56.12267,54.69789,-1.42479,282.993,285.0,0.40387,3
wse2,106.85673,106.17918,-0.67755,285.142,285.0,2.55398,4
wse2,7.61069,7.48378,-0.12691,284.143,285.0,0.12198,2
wse2,11.19406,11.07867,-0.11539,284.734,285.0,0.34938,2
wse2,100.75589,81.02244,-19.73345,289.326,285.0,2.27249,4
wse2,9.05547,9.19821,0.14274,285.314,285.0,0.21158,4
wse2,15.74448,15.74098,-0.0035,285.555,285.0,0.58789,2
wse2,15.9733,16.8929,0.9196,285.158,285.0,0.83494,2
wse2,11.24962,11.54565,0.29603,285.097,285.0,0.27888,4
wse2,16.26469,16.06186,-0.20282,284.747,285.0,0.81967,1
wse2,18.69679,19.53422,0.83743,284.994,285.0,1.07113,1
wse2,74.04364,75.39329,1.34965,284.891,285.0,1.15668,3
wse2,22.21889,23.43061,1.21172,284.525,285.0,1.96005,1
wse2,1.88612,1.7952,-0.09092,282.11,285.0,0.04019,1
wse2,56.59811,56.46894,-0.12916,285.397,285.0,0.64033,4
wse2,1.07612,1.0278,-0.04831,286.302,285.0,0.02083,1
wse2,58.67734,59.25076,0.57341,286.017,285.0,1.21685,2
wse2,13.44215,13.23298,-0.20917,285.179,285.0,0.44489,1
wse2,3.69653,3.6801,-0.01643,286.25,285.0,0.04963,1
wse2,56.70055,56.58864,-0.11191,285.155,285.0,0.6285,2
wse2,7.39334,7.34728,-0.04606,284.983,285.0,0.14531,2
wse2,43.09129,43.73098,0.6397,284.657,285.0,0.75228,3
wse2,1.40107,1.46602,0.06495,286.389,285.0,0.03574,1
wse2,4.7274,4.86749,0.14009,283.983,285.0,0.0549,1
wse2,15.9123,16.0911,0.1788,284.128,285.0,0.64727,2
wse2,25.95635,26.15571,0.19936,284.986,285.0,1.31091,1
wse2,4.64067,4.64527,0.0046,286.83,285.0,0.0736,1
wse2,36.66452,36.04395,-0.62057,285.15,285.0,0.41403,1
wse2,2.63347,2.61712,-0.01635,285.727,285.0,0.046,1
wse2,56.38415,56.53694,0.15279,285.525,285.0,0.59479,2
